# BOSCH-DARAB extract file created 02.04.2026 13:53:22
#
# Data from source file "f34_20260324_23----	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_234140.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235017.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235339.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235628.bmsbin	CDarabFileGroup"
# where 0.000 <= xtime <= 948.996
# 
xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]
         16.800	            723	            843	         -5.390
         16.900	            718	            822	         -5.611
         17.000	            721	            804	         -5.293
         17.100	            707	            792	         -5.391
         17.200	            692	            819	         -5.641
         17.300	            694	            763	         -4.003
         17.400	            703	            787	         -3.347
         17.500	            675	            766	         -4.533
         17.600	            673	            777	         -3.732
         17.700	            657	            725	         -3.426
         17.800	            667	            750	         -3.701
         17.900	            674	            800	         -4.947
         18.000	            667	            742	         -4.442
         18.100	            643	            728	         -3.302
         18.200	            639	            688	         -3.495
         18.300	            631	            708	         -4.492
         18.400	            626	            714	         -4.037
         18.500	            641	            729	         -4.280
         18.600	            633	            728	         -4.058
         18.700	            619	            677	         -3.563
         18.800	            575	            640	         -3.285
         18.900	            565	            643	         -3.855
         19.000	            559	            602	         -3.063
         19.100	            562	            656	         -3.354
         19.200	            575	            656	         -3.276
         19.300	            576	            683	         -3.476
         19.400	            578	            626	         -3.286
         19.500	            533	            598	         -3.141
         19.600	            462	            518	         -1.868
         19.700	            438	            487	         -1.572
         19.800	            420	            473	         -1.357
         19.900	            422	            485	         -1.758
         20.000	            420	            479	         -1.704
         20.100	            431	            468	         -1.640
         20.200	            421	            464	         -1.385
         20.300	            414	            458	         -1.399
         20.400	            372	            423	         -1.207
         20.500	            371	            425	         -1.055
         20.600	            375	            425	         -1.010
         20.700	            378	            427	         -0.681
         20.800	            383	            431	         -0.924
         20.900	            386	            431	         -1.197
         21.000	            393	            433	         -0.858
         21.100	            388	            432	         -0.718
         21.200	            388	            433	         -0.783
         21.300	            390	            433	         -0.893
         21.400	            390	            435	         -1.124
         21.500	            415	            461	         -0.108
         21.600	            438	            492	          0.200
         21.700	            450	            506	          0.053
         21.800	            452	            509	         -0.257
         21.900	            458	            505	         -0.230
         22.000	            457	            503	         -0.008
         22.100	            447	            503	          0.159
         22.200	            444	            495	         -0.050
         22.300	            438	            487	         -0.216
         22.400	            431	            484	         -0.290
         22.500	            427	            482	         -0.087
         22.600	            429	            483	          0.228
         22.700	            428	            482	          0.052
         22.800	            434	            482	         -0.175
         22.900	            435	            482	         -0.294
         23.000	            432	            482	         -0.258
         23.100	            436	            482	          0.073
         23.200	            435	            483	          0.174
         23.300	            402	            457	          0.043
         23.400	            357	            410	         -0.173
         23.500	            358	            405	         -0.305
         23.600	            356	            405	         -0.184
         23.700	            360	            406	         -0.089
         23.800	            363	            406	          0.121
         23.900	            363	            405	         -0.056
         24.000	            356	            408	         -0.255
         24.100	            357	            408	         -0.216
         24.200	            357	            405	          0.093
         24.300	            358	            407	          0.158
         24.400	            358	            407	         -0.397
         24.500	            356	            405	         -0.416
         24.600	            357	            408	         -0.021
         24.700	            361	            405	          0.197
         24.800	            363	            407	         -0.021
         24.900	            359	            405	         -0.336
         25.000	            362	            405	         -0.021
         25.100	            360	            406	          0.108
         25.200	            362	            408	          0.134
         25.300	            362	            407	         -0.035
         25.400	            362	            406	         -0.256
         25.500	            360	            404	         -0.320
         25.600	            357	            407	          0.196
         25.700	            360	            406	          0.197
         25.800	            358	            406	         -0.212
         25.900	            358	            406	         -0.167
         26.000	            357	            407	          0.004
         26.100	            357	            407	         -0.021
         26.200	            358	            407	         -0.095
         26.300	            363	            406	         -0.190
         26.400	            360	            407	         -0.290
         26.500	            362	            406	         -0.102
         26.600	            358	            407	          0.147
         26.700	            362	            406	          0.046
         26.800	            363	            406	         -0.370
         26.900	            357	            406	         -0.459
         27.000	            358	            407	          0.160
         27.100	            360	            407	          0.188
         27.200	            358	            405	         -0.171
         27.300	            358	            405	         -0.329
         27.400	            358	            407	         -0.269
         27.500	            362	            407	          0.140
         27.600	            356	            407	          0.154
         27.700	            362	            406	         -0.196
         27.800	            357	            407	         -0.389
         27.900	            360	            407	         -0.130
         28.000	            360	            405	          0.219
         28.100	            357	            407	          0.086
         28.200	            363	            406	         -0.356
         28.300	            356	            405	         -0.461
         28.400	            362	            406	         -0.135
         28.500	            363	            405	          0.292
         28.600	            361	            406	         -0.149
         28.700	            364	            404	         -0.160
         28.800	            362	            406	         -0.279
         28.900	            357	            405	         -0.161
         29.000	            359	            407	          0.295
         29.100	            355	            406	         -0.009
         29.200	            356	            407	         -0.250
         29.300	            360	            404	         -0.310
         29.400	            363	            404	          0.027
         29.500	            357	            406	          0.146
         29.600	            356	            406	         -0.272
         29.700	            356	            405	         -0.360
         29.800	            363	            405	          0.086
         29.900	            361	            407	          0.179
         30.000	            361	            407	         -0.033
         30.100	            358	            407	         -0.210
         30.200	            363	            407	         -0.295
         30.300	            363	            406	          0.021
         30.400	            361	            407	          0.080
         30.500	            364	            406	          0.040
         30.600	            358	            406	         -0.303
         30.700	            359	            404	         -0.355
         30.800	            359	            407	          0.106
         30.900	            359	            407	          0.208
         31.000	            357	            406	         -0.203
         31.100	            361	            406	         -0.337
         31.200	            356	            406	         -0.203
         31.300	            363	            405	          0.102
         31.400	            363	            405	          0.061
         31.500	            362	            407	         -0.222
         31.600	            357	            405	         -0.207
         31.700	            360	            406	         -0.178
         31.800	            355	            405	          0.135
         31.900	            360	            405	          0.089
         32.000	            363	            407	         -0.218
         32.100	            360	            407	         -0.315
         32.200	            355	            405	         -0.124
         32.300	            361	            407	          0.192
         32.400	            357	            406	          0.039
         32.500	            361	            406	         -0.250
         32.600	            359	            405	         -0.217
         32.700	            363	            406	         -0.223
         32.800	            362	            408	          0.051
         32.900	            356	            407	          0.064
         33.000	            359	            407	          0.029
         33.100	            356	            407	         -0.285
         33.200	            362	            406	         -0.316
         33.300	            356	            405	         -0.001
         33.400	            359	            407	          0.087
         33.500	            357	            404	          0.087
         33.600	            356	            404	         -0.133
         33.700	            359	            406	         -0.234
         33.800	            360	            407	         -0.300
         33.900	            357	            407	         -0.122
         34.000	            360	            406	          0.237
         34.100	            355	            404	          0.045
         34.200	            358	            404	         -0.198
         34.300	            359	            405	         -0.370
         34.400	            361	            407	         -0.121
         34.500	            362	            407	          0.182
         34.600	            357	            407	          0.075
         34.700	            361	            407	         -0.061
         34.800	            361	            406	         -0.314
         34.900	            359	            405	         -0.266
         35.000	            357	            405	         -0.016
         35.100	            359	            407	          0.265
         35.200	            356	            406	         -0.006
         35.300	            363	            406	         -0.400
         35.400	            361	            405	         -0.246
         35.500	            356	            404	         -0.007
         35.600	            358	            404	          0.258
         35.700	            359	            405	         -0.014
         35.800	            363	            406	         -0.149
         35.900	            358	            405	         -0.360
         36.000	            359	            408	         -0.247
         36.100	            356	            405	          0.086
         36.200	            359	            407	          0.221
         36.300	            360	            407	         -0.022
         36.400	            358	            405	         -0.433
         36.500	            356	            404	         -0.387
         36.600	            361	            405	         -0.041
         36.700	            361	            407	          0.139
         36.800	            360	            407	         -0.017
         36.900	            356	            407	         -0.299
         37.000	            356	            407	         -0.275
         37.100	            363	            406	         -0.098
         37.200	            363	            407	          0.238
         37.300	            355	            406	          0.009
         37.400	            363	            406	         -0.305
         37.500	            356	            407	         -0.382
         37.600	            363	            405	          0.029
         37.700	            357	            405	          0.180
         37.800	            361	            404	         -0.035
         37.900	            358	            406	         -0.195
         38.000	            362	            405	         -0.285
         38.100	            356	            407	         -0.010
         38.200	            360	            405	          0.040
         38.300	            357	            405	         -0.013
         38.400	            356	            405	         -0.259
         38.500	            357	            406	         -0.304
         38.600	            360	            407	         -0.101
         38.700	            357	            407	          0.075
         38.800	            357	            409	          0.082
         38.900	            362	            407	         -0.340
         39.000	            359	            407	         -0.255
         39.100	            357	            408	          0.078
         39.200	            357	            407	          0.073
         39.300	            363	            404	         -0.043
         39.400	            356	            407	         -0.306
         39.500	            359	            406	         -0.205
         39.600	            359	            406	          0.023
         39.700	            361	            407	          0.134
         39.800	            358	            407	          0.024
         39.900	            361	            408	         -0.383
         40.000	            363	            406	         -0.271
         40.100	            356	            408	          0.044
         40.200	            360	            405	          0.162
         40.300	            362	            406	         -0.049
         40.400	            363	            406	         -0.397
         40.500	            359	            405	         -0.196
         40.600	            358	            404	          0.063
         40.700	            357	            404	          0.047
         40.800	            362	            407	          0.034
         40.900	            362	            407	         -0.199
         41.000	            359	            407	         -0.293
         41.100	            360	            407	         -0.266
         41.200	            362	            407	         -0.011
         41.300	            363	            407	          0.256
         41.400	            357	            405	         -0.131
         41.500	            359	            404	         -0.323
         41.600	            359	            405	         -0.335
